Stress132,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
s163,1,83.021,23.869,28.176,67.886,112.214,63.861
s163,2,90.347,27.576,15.547,64.923,107.308,61.294
s163,3,86.032,24.315,23.875,60.844,111.108,56.991
s163,4,85.038,24.284,18.829,59.352,104.893,55.873
s164,1,90.526,23.306,24.953,75.348,115.674,69.731
s164,2,99.305,25.115,9.734,65.827,107.825,60.213
s164,3,95.858,23.042,18.239,68.538,113.318,63.045
s164,4,100.067,25.414,12.426,69.332,112.045,61.999
s171,1,92.038,26.279,126.682,132.225,218.85,133.6
s171,2,94.028,26.215,106.324,108.537,200.021,108.178
s171,3,95.881,26.238,94.749,101.418,190.079,100.857
s171,4,100.605,27.809,80.72,89.912,181.075,88.626
s172,1,135.937,35.982,45.162,118.543,180.977,110.783
s172,2,141.921,38.805,34.515,121.397,176.319,114.562
s172,3,148.605,40.263,15.632,99.258,163.383,91.449
s172,4,153.429,41.738,13.245,109.874,164.187,103.956
s173,1,76.838,16.693,107.956,126.536,184.094,127.858
s173,2,70.877,17.905,101.943,106.102,172.773,109.612
s173,3,66.412,14.714,86.654,86.932,152.757,89.474
s173,4,65.52,14.064,92.229,95.626,157.367,97.097
s174,1,89.193,26.346,72.642,111.003,159.151,112.583
s174,2,91.599,29.771,55.253,89.59,142.982,92.537
s174,3,93.729,30.411,46.822,81.277,137.068,83.057
s174,4,96.885,30.723,38.808,72.671,131.279,71.803
s175,1,101.174,25.131,21.976,71.357,119.562,65.084
s175,2,102.399,25.89,27.09,78.069,127.268,70.406
s175,3,99.453,26.573,20.625,72.605,117.627,65.931
s175,4,100.876,29.779,33.774,86.574,131.988,81.332
s176,1,98.686,30.026,45.519,68.735,144.968,57.268
s176,2,112.271,31.485,39.641,73.431,152.354,60.12
s176,3,97.929,29.452,31.881,69.516,130.402,58.383
s176,4,108.941,33.802,34.711,72.364,144.388,57.512
s177,1,125.872,40.522,23.795,106.643,150.001,96.723
s177,2,139.868,49.535,11.949,110.03,152.415,92.489
s177,3,130.282,47.927,3.789,95.517,134.241,76.251
s177,4,133.423,47.043,0.922,93.597,134.411,71.662
s178,1,91.132,34.53,35.392,65.348,125.849,56.661
s178,2,90.925,31.817,33.98,58.274,124.272,48.157
s178,3,85.427,28.507,29.896,56.067,114.214,46.593
s178,4,86.15,28.802,30.027,58.945,115.085,49.579
s179,1,107.452,30.225,73.884,102.543,181.881,97.769
s179,2,116.076,33.836,35.939,98.384,153.075,90.761
s179,3,114.544,34.636,26.237,84.72,142.034,79.564
s179,4,122.632,37.371,24.18,92.999,148.613,86.515
s180,1,98.231,38.983,16.971,72.102,107.895,61.269
s180,2,109.704,45.161,2.517,70.57,103.908,50.582
s180,3,104.377,43.335,4.207,69.886,99.868,49.407
s180,4,108.329,44.961,5.131,64.42,103.45,42.831
s181,1,105.177,28.325,13.059,70.313,117.73,65.03
s181,2,117.792,34.842,5.083,74.543,122.621,64.576
s181,3,112.572,34.539,-0.611,65.704,111.497,57.978
s181,4,114.262,35.033,1.191,73.517,114.54,64.616
s182,1,90.318,25.003,71.247,92.119,161.948,89.448
s182,2,94.418,29.975,56.831,86.791,151.792,84.99
s182,3,96.591,31.937,49.985,82.611,147.156,77.898
s182,4,96.362,29.891,43.217,79.869,140.348,77.305
s183,1,99.539,35.454,46.247,92.317,144.655,85.631
s183,2,97.929,38.601,35.157,86.19,133.05,74.942
s183,3,101.111,45.342,28.36,92.831,129.65,76.038
s183,4,103.108,45.997,25.992,90.075,129.867,71.46
s184,1,84.909,19.959,56.007,63.751,140.722,60.029
s184,2,87.053,22.678,82.194,86.189,168.98,85.749
s184,3,86.167,23.136,64.918,79.819,151.009,75.717
s184,4,85.64,22.384,66.033,78.638,151.434,76.514
s185,1,80.541,24.061,26.023,88.507,105.7,83.814
s185,2,86.687,27.045,21.707,61.046,107.452,52.074
s185,3,89.506,27.344,11.087,59.658,98.894,51.128
s185,4,84.181,26.478,12.729,57.805,95.108,49.724
s186,1,73.3,17.45,90.408,114.439,163.923,113.487
s186,2,72.463,15.188,76.162,85.693,149.008,86.476
s186,3,70.054,14.651,72.363,87.666,142.759,88.054
s186,4,73.116,15.581,69.956,77.39,143.501,77.883
s187,1,94.025,35.136,2.786,56.267,94.087,42.395
s187,2,98.717,37.829,2.055,63.558,97.108,50.335
s187,3,98.519,38.125,0.415,60.792,95.678,45.069
s187,4,97.118,38.491,0.398,61.462,94.305,46.103
s188,1,72.627,17.605,68.185,72.191,140.412,71.734
s188,2,75.329,18.415,61.87,69.193,136.768,68.202
s188,3,69.934,18.211,62.645,69.516,132.573,69.082
s188,4,67.708,16.826,66.623,80.588,134.147,80.231
s189,1,87.089,21.635,57.983,88.3,145.431,85.662
s189,2,86.545,22.683,43.252,78.022,129.966,75.312
s189,3,85.911,21.967,41.585,75.155,127.826,72.814
s189,4,87.344,23.74,38.587,83.761,125.78,80.801
s190,1,117.766,40.05,3.34,70.765,117.419,57.104
s190,2,116.428,40.272,2.688,68.5,115.723,54.789
s190,3,113.981,40.607,-3.229,70.535,107.974,55.966
s190,4,120.942,40.888,-5.107,66.969,112.261,53.739
s191,1,73.262,12.188,76.794,84.545,150.019,86.599
s191,2,72.372,14.069,86.983,117.342,158.944,118.585
s191,3,68.44,13.232,67.677,75.759,135.901,77.434
s191,4,71.749,14.425,69.89,99.473,141.187,100.326
s192,1,112.715,31.115,44.93,114.048,156.523,110.454
s192,2,107.995,30.752,41.168,93.375,147.322,88.292
s192,3,108.455,35.819,34.32,77.531,139.534,67.594
s192,4,110.62,36.571,28.504,84.466,135.489,73.649
s193,1,79.122,28.928,62.628,121.728,141.824,119.185
s193,2,82.971,31.546,52.558,118.643,135.878,115.915
s193,3,86.63,31.533,42.899,100.725,130.089,96.069
s193,4,90.093,36.862,40.942,106.121,131.691,101.866
s194,1,131.28,45.944,22.286,120.001,151.634,114.226
s194,2,134.457,46.263,17.046,117.576,148.503,110.144
s194,3,128.109,45.631,14.893,110.623,140.187,103.577
s194,4,129.594,46.652,20.101,120.593,146.286,113.248
s195,1,77.993,21.758,74.328,75.484,151.805,73.08
s195,2,78.465,25.532,74.728,79.044,152.445,75.828
s195,3,75.284,21.95,65.352,81.344,140.005,79.674
s195,4,77.886,23.445,60.12,67.317,136.864,64.157
s196,1,65.922,9.204,135.593,116.396,201.344,114.635
s196,2,60.224,9.572,141.654,129.806,201.81,129.002
s196,3,62.256,8.73,128.404,111.173,190.693,110.989
s196,4,63.309,9.064,113.095,93.17,176.289,92.524
s197,1,71.814,16.812,138.444,138.26,210.459,139.638
s197,2,74.053,14.854,109.672,93.646,183.917,95.54
s197,3,73.359,15.243,100.846,80.784,174.414,82.172
s197,4,75.037,14.978,91.807,80.219,167.169,81.518
s198,1,63.293,16.222,94.391,70.245,155.822,70.257
s198,2,61.924,17.487,87.685,75.64,147.259,75.502
s198,3,56.735,14.523,80.794,76.102,135.666,75.771
s198,4,60.311,18.934,81.986,80.357,139.498,79.993
s199,1,107.754,37.109,182.381,151.003,290.586,142.07
s199,2,116.412,36.796,158.859,171.843,275.839,166.968
s199,3,103.425,36.424,147.334,139.583,251.487,133.316
s199,4,99.279,38.976,157.818,153.422,257.778,146.273
s200,1,80.113,16.497,87.64,137.73,168.378,137.66
s200,2,78.568,16.495,79.61,90.117,158.886,89.864
s200,3,77.877,16.795,75.508,94.452,153.966,94.03
s200,4,77.162,15.909,71.977,83.916,149.686,82.554
s201,1,105.672,28.716,75.235,141.231,178.59,138.001
s201,2,112.044,37.047,62.238,148.112,171.579,142.704
s201,3,105.509,37.124,67.895,135.969,171.082,129.059
s201,4,106.189,37.271,52.261,116.109,156.225,110.098
s202,1,73.045,15.778,116.392,119.387,189.43,117.56
s202,2,78.582,19.378,95.506,105.6,173.973,104.058
s202,3,76.553,17.727,86.833,92.985,163.417,92.23
s202,4,76.816,17.482,89.109,111.938,165.718,111.852
s203,1,150.53,33.601,137.414,168.624,286.353,165.478
s203,2,153.096,39.579,119.951,140.205,269.505,136.758
s203,3,152.2,36.332,87.719,114.197,235.714,112.376
s203,4,152.886,36.5,78.23,130.939,226.08,128.766
s204,1,91.1,36.487,80.385,123.363,171.874,114.562
s204,2,95.763,36.93,49.177,107.1,145.177,100.304
s204,3,90.967,38.735,36.754,94.07,127.869,86.237
s204,4,93.863,38.247,39.34,99.778,133.04,91.361
s205,1,76.088,20.434,90.111,84.023,166.431,83.391
s205,2,74.814,22.22,91.954,85.662,166.77,83.28
s205,3,68.61,20.117,78.73,83.749,147.503,81.325
s205,4,75.816,23.834,79.758,79.891,155.487,75.914
s206,1,72.529,13.91,114.151,98.343,186.588,97.164
s206,2,72.7,14.983,101.172,103.635,173.299,102.252
s206,3,70.772,12.207,92.322,70.309,162.94,68.13
s206,4,72.198,12.603,99.815,81.817,172.226,80.11
s207,1,98.227,33.46,57.14,111.65,154.07,107.259
s207,2,100.351,31.99,44.814,99.665,141.835,94.775
s207,3,100.434,37.74,35.408,85.28,131.622,78.733
s207,4,103.046,40.504,35.528,92.861,133.134,87.488
s208,1,88.97,20.621,78.157,118.158,166.891,117.025
s208,2,92.203,21.504,59.337,97.754,151.961,94.882
s208,3,82.987,17.045,47.026,86.577,130.144,84.508
s208,4,89.859,19.733,39.954,84.74,130.121,83.094
s209,1,111.963,34.856,73.356,130.547,185.496,126.691
s209,2,114.899,32.85,62.08,120.734,178.08,117.185
s209,3,116.821,34.334,51.242,121.023,168.944,117.622
s209,4,115.755,36.08,42.607,119.797,159.231,116.893
s210,1,69.359,14.909,99.947,75.808,169.585,76.972
s210,2,74.493,16.963,80.657,77.627,155.275,77.799
s210,3,69.888,14.635,75.112,57.363,145.081,59.148
s210,4,69.588,14.808,75.701,64.858,145.351,66.618
s211,1,97.387,42.342,68.812,126.113,166.474,117.286
s211,2,101.98,43.337,45.807,100.421,148.188,87.999
s211,3,97.794,42.1,40.043,96.465,138.387,85.748
s211,4,99.402,42.58,41.468,99.021,140.387,86.202
s212,1,108.17,31.277,120.732,140.399,228.635,137.868
s212,2,107.991,29.975,82.755,108.7,190.283,104.147
s212,3,106.061,29.269,62.735,94.79,168.358,91.2
s212,4,105.493,30.111,59.67,87.521,164.69,83.409
s213,1,111.031,32.347,26.558,80.301,138.294,70.473
s213,2,113.36,39.005,35.027,96.044,149.402,84.189
s213,3,115.159,41.401,22.653,85.623,138.855,71.085
s213,4,117.669,41.892,20.255,89.307,139.196,74.92
s214,1,82.105,24.196,89.326,102.147,168.541,100.218
s214,2,77.763,22.702,88.891,108.258,164.706,106.819
s214,3,74.42,22.088,73.169,102.692,145.47,101.529
s214,4,75.321,20.816,84.907,100.484,158.393,98.294
s215,1,102.587,26.686,72.867,119.127,175.926,119.382
s215,2,101.707,29.508,58.795,113.223,160.828,111.019
s215,3,101.365,33.29,44.326,83.005,145.999,78.052
s215,4,107.624,34.492,35.778,90.653,142.798,87.165
s216,1,71.501,15.366,110.475,86.598,182.085,86.891
s216,2,68.978,15.834,92.898,66.834,162.014,66.33
s216,3,69.49,18.174,83.948,73.207,153.74,71.852
s216,4,70.814,20.119,88.027,80.105,159.156,78.592
s217,1,96.384,32.226,61.412,94.965,157.863,87.824
s217,2,106.756,32.892,46.73,96.549,153.755,90.267
s217,3,104.959,36.264,46.64,99.862,152.251,90.921
s217,4,101.862,33.557,45.171,94.658,147.512,86.134
s218,1,95.709,30.768,39.141,75.576,135.545,66.741
s218,2,96.334,29.335,39.114,73.393,136.212,68.373
s218,3,89.61,25.133,37.154,69.856,127.35,65.555
s218,4,92.799,25.963,36.532,73.943,129.982,68.904
s219,1,93.099,34.909,10.715,58.778,100.741,50.361
s219,2,95.92,32.954,-0.22,46.229,92.43,37.629
s219,3,91.386,30.042,2.725,51.465,91.544,46.304
s219,4,97.193,32.574,5.008,62.874,97.612,55.325
s220,1,80.722,20.774,26.292,60.548,106.439,53.547
s220,2,85.262,24.221,34.302,65.589,116.991,57.027
s220,3,89.92,26.436,17.749,61.739,105.307,50.872
s220,4,93.537,27.221,16.015,65.574,106.159,53.335
s221,1,101.0,28.394,56.908,74.009,155.538,75.621
s221,2,115.789,30.436,42.906,91.937,155.71,91.055
s221,3,116.293,31.454,32.789,90.064,144.708,88.691
s221,4,117.128,33.988,29.412,84.35,141.921,79.755
s222,1,81.699,19.435,34.323,63.082,113.563,55.847
s222,2,93.515,22.632,29.628,61.575,119.782,53.398
s222,3,84.906,21.696,25.425,59.429,107.731,51.217
s222,4,86.126,23.026,29.556,61.82,112.288,53.833
s223,1,110.717,35.641,33.012,83.748,140.041,73.406
s223,2,110.109,34.169,28.923,70.76,136.093,59.831
s223,3,104.672,35.329,25.861,67.642,127.78,56.285
s223,4,106.949,33.426,23.884,65.459,127.663,55.961
s224,1,87.922,27.559,39.52,91.041,125.584,91.326
s224,2,88.528,28.551,34.168,86.975,121.196,83.063
s224,3,86.162,29.776,28.164,78.177,112.882,73.03
s224,4,81.531,25.215,32.044,84.44,112.64,79.784
s225,1,102.653,33.572,17.402,69.245,116.124,54.322
s225,2,110.339,37.696,5.197,68.005,111.096,50.776
s225,3,102.697,38.063,4.608,66.251,103.754,47.71
s225,4,107.927,42.948,4.448,71.82,108.576,51.578
s226,1,86.025,33.075,55.315,92.318,141.16,89.83
s226,2,87.73,31.438,40.727,83.023,128.417,75.63
s226,3,84.169,27.527,33.305,76.147,117.055,70.647
s226,4,87.704,30.397,38.798,66.675,126.36,55.467
s227,1,87.771,24.322,54.639,127.816,142.818,124.159
s227,2,97.108,26.023,21.995,94.692,119.796,87.815
s227,3,95.696,27.222,22.283,76.091,119.03,67.229
s227,4,95.098,30.986,22.25,86.347,117.875,77.533
s228,1,90.461,19.179,90.577,140.053,179.879,137.56
s228,2,88.999,17.474,76.912,120.306,165.181,120.423
s228,3,85.022,15.115,72.533,106.008,157.228,105.211
s228,4,88.092,16.665,64.289,101.634,151.629,100.3
s229,1,122.091,41.057,116.862,132.652,230.541,138.143
s229,2,134.817,50.139,96.9,128.415,220.255,133.575
s229,3,128.707,46.837,82.231,113.756,199.042,116.301
s229,4,129.826,48.109,77.131,119.175,194.903,122.307
s230,1,94.758,24.801,62.256,85.262,154.338,90.723
s230,2,94.363,26.481,36.185,59.106,126.078,61.969
s230,3,90.238,24.813,33.054,54.359,118.886,56.514
s230,4,86.283,25.922,40.173,65.502,122.267,69.818
s231,1,57.07,7.729,104.561,78.818,161.548,78.66
s231,2,55.827,8.038,111.685,103.001,167.4,103.252
s231,3,55.816,7.173,100.526,91.64,156.332,91.822
s231,4,57.248,8.031,106.211,87.066,163.402,86.682
s232,1,107.409,32.005,31.018,76.723,133.852,72.449
s232,2,106.416,34.989,16.928,62.522,118.591,56.352
s232,3,103.026,33.223,8.9,55.892,107.028,47.563
s232,4,105.406,31.991,4.703,57.488,105.398,50.521
s233,1,110.327,47.766,60.909,115.558,168.18,109.886
s233,2,109.821,40.19,33.661,103.058,142.001,95.612
s233,3,107.339,39.727,36.03,98.638,142.63,86.853
s233,4,107.241,38.806,36.116,109.178,141.915,101.257
s234,1,66.688,13.047,67.901,90.958,134.562,90.31
s234,2,66.069,14.945,66.743,92.52,132.868,91.947
s234,3,62.929,14.888,62.011,86.463,124.992,84.216
